!SIL	SIL
<SPOKEN_NOISE>	SPN
ㅁㅜㄴᴥㅎㅕㄴᴥ3ㄷㅗㅇᴥㅅㅏᴥㅁㅜᴥㅅㅗᴥ	f6 m13 e3 f18 m6 e3 n3 f3 m8 e20 f9 m0 f6 m13 f9 m8
ㅁㅜㄴᴥㅎㅕㄴᴥㄱㅡㅁᴥㅇㅠㅇᴥㄹㅗᴥ	f6 m13 e3 f18 m6 e3 f0 m18 e15 f11 m17 e20 f5 m8
ㅁㅜㄴᴥㅎㅕㄴᴥㄴㅏㅁᴥ	f6 m13 e3 f18 m6 e3 f2 m0 e15
ㅁㅜㄴᴥㅎㅕㄴᴥㄷㅗㅇᴥ	f6 m13 e3 f18 m6 e3 f3 m8 e20
ㅁㅜㄴᴥㅎㅕㄴᴥㅈㅓㅁᴥ	f6 m13 e3 f18 m6 e3 f12 m4 e15
ㅁㅜㄴᴥㅎㅕㄴᴥㅈㅜᴥ	f6 m13 e3 f18 m6 e3 f12 m13
ㅁㅜㄴᴥㅎㅕㄴᴥㅈㅣㄴᴥ	f6 m13 e3 f18 m6 e3 f12 m20 e3
ㅁㅜㄴᴥㅎㅕㅇᴥㄱㅛᴥㅊㅏᴥㄹㅗᴥ	f6 m13 e3 f18 m6 e20 f0 m12 f14 m0 f5 m8
ㅁㅜㄴᴥㅎㅕㅇᴥㄹㅣᴥ	f6 m13 e3 f18 m6 e20 f5 m20
ㅁㅜㄴᴥㅎㅕㅇᴥㅅㅗㅇᴥㅇㅔᴥㄱㅔᴥ	f6 m13 e3 f18 m6 e20 f9 m8 e20 f11 m5 f0 m5
ㅁㅜㄴᴥㅎㅕㅇᴥㅇㅜᴥㅇㅔᴥㄱㅔᴥ	f6 m13 e3 f18 m6 e20 f11 m13 f11 m5 f0 m5
ㅁㅜㄴᴥㅎㅕㅇᴥㅊㅓㄹᴥㅇㅔᴥㄱㅔᴥ	f6 m13 e3 f18 m6 e20 f14 m4 e7 f11 m5 f0 m5
ㅁㅜㄴᴥㅎㅕㅇᴥㅎㅗᴥㅇㅔᴥㄱㅔᴥ	f6 m13 e3 f18 m6 e20 f18 m8 f11 m5 f0 m5
ㅁㅜㄴᴥㅎㅖᴥㄱㅕㅇᴥㅇㅔᴥㄱㅔᴥ	f6 m13 e3 f18 m7 f0 m6 e20 f11 m5 f0 m5
ㅁㅜㄴᴥㅎㅖᴥㄹㅣᴥ	f6 m13 e3 f18 m7 f5 m20
ㅁㅜㄴᴥㅎㅖᴥㅅㅜᴥ	f6 m13 e3 f18 m7 f9 m13
ㅁㅜㄴᴥㅎㅗᴥㄹㅣᴥ	f6 m13 e3 f18 m8 f5 m20
ㅁㅜㄴᴥㅎㅗᴥㅈㅜㄴᴥㅇㅔᴥㄱㅔᴥ	f6 m13 e3 f18 m8 f12 m13 e3 f11 m5 f0 m5
ㅁㅜㄴᴥㅎㅗㅇᴥㅅㅓㄱᴥㅇㅔᴥㄱㅔᴥ	f6 m13 e3 f18 m8 e20 f9 m4 e0 f11 m5 f0 m5
ㅁㅜㄴᴥㅎㅗㅇᴥㅈㅜᴥ	f6 m13 e3 f18 m8 e20 f12 m13
ㅁㅜㄴᴥㅎㅗㅇᴥㅈㅜᴥㅇㅔᴥㄱㅔᴥ	f6 m13 e3 f18 m8 e20 f12 m13 f11 m5 f0 m5
ㅁㅜㄴᴥㅎㅘᴥ	f6 m13 e3 f18 m9
ㅁㅜㄴᴥㅎㅘᴥㄱㅗㅇᴥㅇㅝㄴᴥ	f6 m13 e3 f18 m9 f0 m8 e20 f11 m14 e3
ㅁㅜㄴᴥㅎㅘᴥㄱㅘㄴᴥ	f6 m13 e3 f18 m9 f0 m9 e3
ㅁㅜㄴᴥㅎㅘᴥㄷㅗㅇᴥ	f6 m13 e3 f18 m9 f3 m8 e20
ㅁㅜㄴᴥㅎㅘᴥㄹㅏㄴᴥ	f6 m13 e3 f18 m9 f5 m0 e3
ㅁㅜㄴᴥㅎㅘᴥㄹㅗᴥ	f6 m13 e3 f18 m9 f5 m8
ㅁㅜㄴᴥㅎㅘᴥㄹㅗᴥ47ㄱㅣㄹᴥ	f6 m13 e3 f18 m9 f5 m8 n4 n7 f0 m20 e7
ㅁㅜㄴᴥㅎㅘᴥㄹㅗᴥ60ㄱㅣㄹᴥ	f6 m13 e3 f18 m9 f5 m8 n6 n0 f0 m20 e7
ㅁㅜㄴᴥㅎㅘᴥㅁㅏᴥㅇㅡㄹᴥ	f6 m13 e3 f18 m9 f6 m0 f11 m18 e7
ㅁㅜㄴᴥㅎㅘᴥㅅㅏᴥ	f6 m13 e3 f18 m9 f9 m0
ㅁㅜㄴᴥㅎㅘᴥㅅㅔㄴᴥㅌㅏᴥ	f6 m13 e3 f18 m9 f9 m5 e3 f16 m0
ㅁㅜㄴᴥㅎㅘᴥㅅㅔㄴᴥㅌㅓᴥ	f6 m13 e3 f18 m9 f9 m5 e3 f16 m4
ㅁㅜㄴᴥㅎㅘᴥㅇㅖᴥㅅㅜㄹᴥㅎㅚᴥㄱㅘㄴᴥ	f6 m13 e3 f18 m9 f11 m7 f9 m13 e7 f18 m11 f0 m9 e3
ㅁㅜㄴᴥㅎㅘᴥㅇㅝㄴᴥ	f6 m13 e3 f18 m9 f11 m14 e3
ㅁㅜㄴᴥㅎㅘᴥㅇㅢᴥ	f6 m13 e3 f18 m9 f11 m19
ㅁㅜㄴᴥㅎㅘᴥㅈㅐᴥ	f6 m13 e3 f18 m9 f12 m1
ㅁㅜㄴᴥㅎㅘᴥㅈㅐᴥㅊㅓㅇᴥ	f6 m13 e3 f18 m9 f12 m1 f14 m4 e20
ㅁㅜㄴᴥㅎㅘᴥㅈㅓㄴᴥㄷㅏㅇᴥ	f6 m13 e3 f18 m9 f12 m4 e3 f3 m0 e20
ㅁㅜㄴᴥㅎㅘᴥㅈㅓㄴᴥㄷㅏㅇᴥㅇㅕㄱᴥ	f6 m13 e3 f18 m9 f12 m4 e3 f3 m0 e20 f11 m6 e0
ㅁㅜㄴᴥㅎㅘᴥㅈㅣᴥ	f6 m13 e3 f18 m9 f12 m20
ㅁㅜㄴᴥㅎㅘᴥㅊㅗㄴᴥ	f6 m13 e3 f18 m9 f14 m8 e3
ㅁㅜㄴᴥㅎㅘᴥㅎㅚᴥㄱㅘㄴᴥ	f6 m13 e3 f18 m9 f18 m11 f0 m9 e3
ㅁㅜㄴᴥㅎㅘᴥㅎㅚᴥㄱㅘㄴᴥ11ㅇㅏㄴᴥㄱㅣㄹᴥ	f6 m13 e3 f18 m9 f18 m11 f0 m9 e3 n1 n1 f11 m0 e3 f0 m20 e7
ㅁㅜㄴᴥㅎㅡㅇᴥㄷㅗㅇᴥ	f6 m13 e3 f18 m18 e20 f3 m8 e20
ㅁㅜㄴᴥㅎㅡㅇᴥㅈㅜㅇᴥㅇㅏㅇᴥㅊㅗᴥㄷㅡㅇᴥㅎㅏㄱᴥㄱㅛᴥ	f6 m13 e3 f18 m18 e20 f12 m13 e20 f11 m0 e20 f14 m8 f3 m18 e20 f18 m0 e0 f0 m12
ㅁㅜㄴᴥㅎㅡㅇᴥㅈㅣᴥㄱㅜᴥ	f6 m13 e3 f18 m18 e20 f12 m20 f0 m13
ㅁㅜㄴᴥㅎㅢᴥㅇㅔᴥㄱㅔᴥ	f6 m13 e3 f18 m19 f11 m5 f0 m5
ㅁㅜㄴᴥㅎㅢᴥㅇㅕㅇᴥ	f6 m13 e3 f18 m19 f11 m6 e20
ㅁㅜㄹᴥ	f6 m13 e7
ㅁㅜㄹᴥㄱㅏㄹᴥㅂㅣᴥ	f6 m13 e7 f0 m0 e7 f7 m20
ㅁㅜㄹᴥㄱㅓㄴᴥㄹㅣᴥ	f6 m13 e7 f0 m4 e3 f5 m20
ㅁㅜㄹᴥㄱㅗᴥㄱㅣᴥ	f6 m13 e7 f0 m8 f0 m20
ㅁㅜㄹᴥㄱㅗㅁᴥㅌㅏㅇᴥ	f6 m13 e7 f0 m8 e15 f16 m0 e20
ㅁㅜㄹᴥㄱㅡㅁᴥ	f6 m13 e7 f0 m18 e15
ㅁㅜㄹᴥㄱㅡㅁᴥic	f6 m13 e7 f0 m18 e15 i c
ㅁㅜㄹᴥㄱㅡㅁᴥㄹㅗᴥ	f6 m13 e7 f0 m18 e15 f5 m8
ㅁㅜㄹᴥㄱㅡㅁᴥㅇㅕㄱᴥ	f6 m13 e7 f0 m18 e15 f11 m6 e0
ㅁㅜㄹᴥㄱㅡㅁᴥㅇㅡㅂᴥ	f6 m13 e7 f0 m18 e15 f11 m18 e16
ㅁㅜㄹᴥㄱㅡㅁᴥㅈㅓㅁᴥ	f6 m13 e7 f0 m18 e15 f12 m4 e15
ㅁㅜㄹᴥㄴㅗㄹᴥㅇㅣᴥ	f6 m13 e7 f2 m8 e7 f11 m20
ㅁㅜㄹᴥㄷㅡㄹᴥㄷㅏᴥ	f6 m13 e7 f3 m18 e7 f3 m0
ㅁㅜㄹᴥㄹㅑㅇᴥㅈㅏㅇᴥ	f6 m13 e7 f5 m2 e20 f12 m0 e20
ㅁㅜㄹᴥㄹㅔᴥㅂㅏㅇᴥㅇㅏᴥ	f6 m13 e7 f5 m5 f7 m0 e20 f11 m0
ㅁㅜㄹᴥㄹㅠᴥ	f6 m13 e7 f5 m17
ㅁㅜㄹᴥㄹㅠᴥㄹㅗᴥ	f6 m13 e7 f5 m17 f5 m8
ㅁㅜㄹᴥㄹㅠᴥㅅㅔㄴᴥㅌㅏᴥ	f6 m13 e7 f5 m17 f9 m5 e3 f16 m0
ㅁㅜㄹᴥㄹㅠᴥㅅㅔㄴᴥㅌㅓᴥ	f6 m13 e7 f5 m17 f9 m5 e3 f16 m4
ㅁㅜㄹᴥㄹㅠᴥㅊㅏㅇᴥㄱㅗᴥ	f6 m13 e7 f5 m17 f14 m0 e20 f0 m8
ㅁㅜㄹᴥㄹㅣᴥ	f6 m13 e7 f5 m20
ㅁㅜㄹᴥㅁㅏᴥ	f6 m13 e7 f6 m0
ㅁㅜㄹᴥㅂㅣㅊᴥㄱㅗㅇᴥㅇㅝㄴᴥ	f6 m13 e7 f7 m20 e22 f0 m8 e20 f11 m14 e3
ㅁㅜㄹᴥㅅㅏㄴᴥ	f6 m13 e7 f9 m0 e3
ㅁㅜㄹᴥㅅㅐㅁᴥ	f6 m13 e7 f9 m1 e15
ㅁㅜㄹᴥㅅㅗᴥㄹㅣᴥ	f6 m13 e7 f9 m8 f5 m20
ㅁㅜㄹᴥㅇㅏㄴᴥㄱㅗㄹᴥ	f6 m13 e7 f11 m0 e3 f0 m8 e7
ㅁㅜㄹᴥㅇㅏㅁᴥㄷㅗㅇᴥㅅㅏᴥㅁㅜᴥㅅㅗᴥ	f6 m13 e7 f11 m0 e15 f3 m8 e20 f9 m0 f6 m13 f9 m8
ㅁㅜㄹᴥㅇㅑᴥㅊㅗᴥㄷㅡㅇᴥㅎㅏㄱᴥㄱㅛᴥ	f6 m13 e7 f11 m2 f14 m8 f3 m18 e20 f18 m0 e0 f0 m12
ㅁㅜㄹᴥㅇㅑㅇᴥㅈㅏㅇᴥ	f6 m13 e7 f11 m2 e20 f12 m0 e20
ㅁㅜㄹᴥㅇㅘㅇᴥ	f6 m13 e7 f11 m9 e20
ㅁㅜㄹᴥㅇㅘㅇᴥㄷㅗㅇᴥ	f6 m13 e7 f11 m9 e20 f3 m8 e20
ㅁㅜㄹᴥㅇㅘㅇᴥㄹㅣᴥ	f6 m13 e7 f11 m9 e20 f5 m20
ㅁㅜㄹᴥㅇㅘㅇᴥㅈㅓᴥㅅㅜᴥㅈㅣᴥ	f6 m13 e7 f11 m9 e20 f12 m4 f9 m13 f12 m20
ㅁㅜㄹᴥㅇㅡㅁᴥㅍㅛᴥ	f6 m13 e7 f11 m18 e15 f17 m12
ㅁㅜㄹᴥㅇㅢᴥ	f6 m13 e7 f11 m19
ㅁㅜㄹᴥㅊㅏᴥ	f6 m13 e7 f14 m0
ㅁㅜㄹᴥㅊㅗㅇᴥ	f6 m13 e7 f14 m8 e20
ㅁㅜㄹᴥㅊㅣᴥ	f6 m13 e7 f14 m20
ㅁㅜㄹᴥㅊㅣᴥㄹㅣᴥ	f6 m13 e7 f14 m20 f5 m20
ㅁㅜㄹᴥㅊㅣᴥㅎㅏㅇᴥ	f6 m13 e7 f14 m20 f18 m0 e20
ㅁㅜㄹᴥㅌㅓㅁᴥㅂㅓㅇᴥ	f6 m13 e7 f16 m4 e15 f7 m4 e20
ㅁㅜㄹᴥㅌㅓㅁᴥㅂㅓㅇᴥㅇㅣᴥ	f6 m13 e7 f16 m4 e15 f7 m4 e20 f11 m20
ㅁㅜㄹᴥㅌㅗㅇᴥㅂㅓㅁᴥ	f6 m13 e7 f16 m8 e20 f7 m4 e15
ㅁㅜㄹᴥㅌㅣᴥㅅㅠᴥ	f6 m13 e7 f16 m20 f9 m17
ㅁㅜㄹᴥㅍㅜᴥㄹㅔᴥㅁㅏᴥㅇㅡㄹᴥ	f6 m13 e7 f17 m13 f5 m5 f6 m0 f11 m18 e7
ㅁㅜㄹᴥㅎㅏㅇᴥ	f6 m13 e7 f18 m0 e20
ㅁㅜㄹᴥㅎㅚᴥ	f6 m13 e7 f18 m11
ㅁㅜㄹᴥㅎㅚᴥㅈㅣㅂᴥ	f6 m13 e7 f18 m11 f12 m20 e16
ㅁㅜㄹᴥㅎㅚㅅᴥㅈㅣㅂᴥ	f6 m13 e7 f18 m11 e18 f12 m20 e16
ㅁㅜㅇᴥㅊㅣᴥ	f6 m13 e20 f14 m20
ㅁㅜㅇᴥㅊㅣᴥㅇㅔᴥㄱㅔᴥ	f6 m13 e20 f14 m20 f11 m5 f0 m5
ㅁㅜㅇᴥㅋㅣᴥㅇㅔᴥㄱㅔᴥ	f6 m13 e20 f15 m20 f11 m5 f0 m5
ㅁㅜㅇᴥㅌㅐᴥㄱㅣᴥ	f6 m13 e20 f16 m1 f0 m20
ㅁㅜㅇᴥㅌㅣᴥㄱㅣᴥ	f6 m13 e20 f16 m20 f0 m20
ㅁㅝᴥ	f6 m14
ㅁㅝᴥㄴㅣᴥ	f6 m14 f2 m20
ㅁㅝᴥㅇㅑᴥ	f6 m14 f11 m2
ㅁㅝᴥㅇㅔᴥㄱㅔᴥ	f6 m14 f11 m5 f0 m5
ㅁㅝᴥㅎㅏᴥㄴㅑᴥ	f6 m14 f18 m0 f2 m2
ㅁㅟㄴᴥㅎㅔㄴᴥ	f6 m16 e3 f18 m5 e3
ㅁㅠᴥㅁㅗᴥㅌㅔㄹᴥ	f6 m17 f6 m8 f16 m5 e7
ㅁㅠᴥㅈㅡᴥ	f6 m17 f12 m18
ㅁㅠᴥㅈㅣᴥㅇㅓㅁᴥ	f6 m17 f12 m20 f11 m4 e15
ㅁㅠᴥㅈㅣᴥㅇㅓㅁᴥㅅㅏㄴᴥ	f6 m17 f12 m20 f11 m4 e15 f9 m0 e3
ㅁㅠᴥㅈㅣᴥㅋㅓㄹᴥ	f6 m17 f12 m20 f15 m4 e7
ㅁㅠᴥㅈㅣㄱᴥ	f6 m17 f12 m20 e0
ㅁㅣᴥ	f6 m20
ㅁㅣᴥ2ㅅㅏᴥㄷㅏㄴᴥ	f6 m20 n2 f9 m0 f3 m0 e3
ㅁㅣᴥㄱㅏᴥ	f6 m20 f0 m0
ㅁㅣᴥㄱㅏᴥㅁㅗㄹᴥㄷㅣㅇᴥ	f6 m20 f0 m0 f6 m8 e7 f3 m20 e20
ㅁㅣᴥㄱㅏㄱᴥ	f6 m20 f0 m0 e0
ㅁㅣᴥㄱㅏㅇᴥ	f6 m20 f0 m0 e20
ㅁㅣᴥㄱㅏㅇᴥㅎㅗᴥㅅㅜᴥ	f6 m20 f0 m0 e20 f18 m8 f9 m13
ㅁㅣᴥㄱㅓㄴᴥㅇㅢᴥㄹㅛᴥㄱㅣᴥ	f6 m20 f0 m4 e3 f11 m19 f5 m12 f0 m20
ㅁㅣᴥㄱㅕㅇᴥ	f6 m20 f0 m6 e20
ㅁㅣᴥㄱㅕㅇᴥㅆㅣᴥㅇㅔᴥㄱㅔᴥ	f6 m20 f0 m6 e20 f10 m20 f11 m5 f0 m5
ㅁㅣᴥㄱㅕㅇᴥㅇㅔᴥㄱㅔᴥ	f6 m20 f0 m6 e20 f11 m5 f0 m5
ㅁㅣᴥㄱㅕㅇᴥㅇㅗㅇᴥ	f6 m20 f0 m6 e20 f11 m8 e20
ㅁㅣᴥㄱㅗㄱᴥ	f6 m20 f0 m8 e0
ㅁㅣᴥㄱㅘㅇᴥㅅㅏㄴᴥㅇㅓㅂᴥ	f6 m20 f0 m9 e20 f9 m0 e3 f11 m4 e16
ㅁㅣᴥㄱㅛᴥㅇㅔᴥㄱㅔᴥ	f6 m20 f0 m12 f11 m5 f0 m5
ㅁㅣᴥㄱㅜㄱᴥ	f6 m20 f0 m13 e0
ㅁㅣᴥㄱㅜㄱᴥㅁㅏᴥㅇㅡㄹᴥ	f6 m20 f0 m13 e0 f6 m0 f11 m18 e7
ㅁㅣᴥㄱㅜㄱᴥㅇㅣㄴᴥㅁㅏᴥㅇㅡㄹᴥ	f6 m20 f0 m13 e0 f11 m20 e3 f6 m0 f11 m18 e7
ㅁㅣᴥㄱㅡㅁᴥ	f6 m20 f0 m18 e15
ㅁㅣᴥㄱㅡㅁᴥㄹㅗᴥ	f6 m20 f0 m18 e15 f5 m8
ㅁㅣᴥㄱㅡㅁᴥㅇㅕㄱᴥ	f6 m20 f0 m18 e15 f11 m6 e0
ㅁㅣᴥㄱㅡㅁᴥㅇㅕㄱᴥㅈㅓㅁᴥ	f6 m20 f0 m18 e15 f11 m6 e0 f12 m4 e15
ㅁㅣᴥㄱㅡㅁᴥㅇㅛᴥ	f6 m20 f0 m18 e15 f11 m12
ㅁㅣᴥㄱㅡㅁᴥㅇㅣㄹᴥㄹㅗᴥ	f6 m20 f0 m18 e15 f11 m20 e7 f5 m8
ㅁㅣᴥㄲㅜᴥ	f6 m20 f1 m13
ㅁㅣᴥㄲㅜᴥㅁㅣᴥㄲㅜᴥ	f6 m20 f1 m13 f6 m20 f1 m13
ㅁㅣᴥㄴㅏᴥㄹㅣᴥㅇㅔᴥㄱㅔᴥ	f6 m20 f2 m0 f5 m20 f11 m5 f0 m5
ㅁㅣᴥㄴㅏᴥㅅㅏㅇᴥㅇㅔᴥㄱㅔᴥ	f6 m20 f2 m0 f9 m0 e20 f11 m5 f0 m5
ㅁㅣᴥㄴㅏᴥㅅㅗㄹᴥㅇㅔᴥㄱㅔᴥ	f6 m20 f2 m0 f9 m8 e7 f11 m5 f0 m5
ㅁㅣᴥㄴㅏㅁᴥ	f6 m20 f2 m0 e15
ㅁㅣᴥㄴㅏㅁᴥㄹㅗᴥㅌㅏᴥㄹㅣᴥ	f6 m20 f2 m0 e15 f5 m8 f16 m0 f5 m20
ㅁㅣᴥㄴㅔᴥ	f6 m20 f2 m5
ㅁㅣᴥㄴㅕᴥ	f6 m20 f2 m6
ㅁㅣᴥㄴㅕᴥㅇㅔᴥㄱㅔᴥ	f6 m20 f2 m6 f11 m5 f0 m5
ㅁㅣᴥㄴㅣᴥ	f6 m20 f2 m20
ㅁㅣᴥㄴㅣᴥㅁㅣᴥ	f6 m20 f2 m20 f6 m20
ㅁㅣᴥㄴㅣᴥㅁㅣᴥㄴㅣㅇᴥㅇㅔᴥㄱㅔᴥ	f6 m20 f2 m20 f6 m20 f2 m20 e20 f11 m5 f0 m5
ㅁㅣᴥㄴㅣᴥㅅㅡᴥㅌㅗㅂᴥ	f6 m20 f2 m20 f9 m18 f16 m8 e16
ㅁㅣᴥㄴㅣᴥㅋㅏᴥ	f6 m20 f2 m20 f15 m0
ㅁㅣᴥㄷㅏㄴᴥㅇㅔᴥㄱㅔᴥ	f6 m20 f3 m0 e3 f11 m5 f0 m5
ㅁㅣᴥㄷㅏㅁᴥ	f6 m20 f3 m0 e15
ㅁㅣᴥㄷㅏㅁᴥㅇㅣᴥㅇㅔㄴᴥㅆㅣᴥㅇㅔᴥㄱㅔᴥ	f6 m20 f3 m0 e15 f11 m20 f11 m5 e3 f10 m20 f11 m5 f0 m5
ㅁㅣᴥㄷㅏㅇᴥ	f6 m20 f3 m0 e20
ㅁㅣᴥㄷㅓᴥㄷㅓㄱᴥ	f6 m20 f3 m4 f3 m4 e0
ㅁㅣᴥㄷㅓㄱᴥㅇㅝㄴᴥ	f6 m20 f3 m4 e0 f11 m14 e3
ㅁㅣᴥㄷㅓㄱᴥㅈㅜㅇᴥㅎㅏㄱᴥㄱㅛᴥ	f6 m20 f3 m4 e0 f12 m13 e20 f18 m0 e0 f0 m12
ㅁㅣᴥㄷㅗᴥ	f6 m20 f3 m8
ㅁㅣᴥㄷㅗᴥㅅㅣㄱᴥㅍㅜㅁᴥ	f6 m20 f3 m8 f9 m20 e0 f17 m13 e15
ㅁㅣᴥㄷㅗᴥㅇㅏᴥㅍㅏᴥㅌㅡᴥ	f6 m20 f3 m8 f11 m0 f17 m0 f16 m18
ㅁㅣᴥㄷㅗᴥㅎㅘᴥㅎㅏㄱᴥ	f6 m20 f3 m8 f18 m9 f18 m0 e0
ㅁㅣᴥㄷㅗㄹᴥㄱㅜㄴᴥㅇㅔᴥㄱㅔᴥ	f6 m20 f3 m8 e7 f0 m13 e3 f11 m5 f0 m5
ㅁㅣᴥㄷㅣᴥㅇㅓᴥ	f6 m20 f3 m20 f11 m4
ㅁㅣᴥㄷㅣᴥㅇㅓᴥㅅㅔㄴᴥㅌㅏᴥ	f6 m20 f3 m20 f11 m4 f9 m5 e3 f16 m0
ㅁㅣᴥㄷㅣᴥㅇㅓᴥㅅㅔㄴᴥㅌㅓᴥ	f6 m20 f3 m20 f11 m4 f9 m5 e3 f16 m4
ㅁㅣᴥㄷㅣᴥㅇㅓᴥㅊㅗㄴᴥ	f6 m20 f3 m20 f11 m4 f14 m8 e3
ㅁㅣᴥㄹㅏᴥ	f6 m20 f5 m0
ㅁㅣᴥㄹㅏᴥㅂㅗᴥㅇㅏᴥㅍㅏᴥㅌㅡᴥ	f6 m20 f5 m0 f7 m8 f11 m0 f17 m0 f16 m18
ㅁㅣᴥㄹㅏᴥㅇㅔᴥㄱㅔᴥ	f6 m20 f5 m0 f11 m5 f0 m5
ㅁㅣᴥㄹㅏᴥㅇㅣㄴᴥ	f6 m20 f5 m0 f11 m20 e3
ㅁㅣᴥㄹㅏᴥㅈㅜᴥ	f6 m20 f5 m0 f12 m13
ㅁㅣᴥㄹㅏᴥㅋㅡㄹᴥ	f6 m20 f5 m0 f15 m18 e7
ㅁㅣᴥㄹㅏㄱᴥㅈㅓㅇᴥ	f6 m20 f5 m0 e0 f12 m4 e20
ㅁㅣᴥㄹㅏㄴᴥ	f6 m20 f5 m0 e3
ㅁㅣᴥㄹㅏㄴᴥㄷㅏᴥㅎㅗᴥㅌㅔㄹᴥ	f6 m20 f5 m0 e3 f3 m0 f18 m8 f16 m5 e7
ㅁㅣᴥㄹㅏㄴᴥㅇㅔᴥㄱㅔᴥ	f6 m20 f5 m0 e3 f11 m5 f0 m5
ㅁㅣᴥㄹㅏㄴᴥㅇㅣᴥㅇㅔᴥㄱㅔᴥ	f6 m20 f5 m0 e3 f11 m20 f11 m5 f0 m5
ㅁㅣᴥㄹㅏㄴᴥㅇㅣᴥㅎㅏㄴᴥㅌㅔᴥ	f6 m20 f5 m0 e3 f11 m20 f18 m0 e3 f16 m5
ㅁㅣᴥㄹㅏㅇᴥ	f6 m20 f5 m0 e20
ㅁㅣᴥㄹㅐᴥ	f6 m20 f5 m1
ㅁㅣᴥㄹㅐᴥㄴㅣㅁᴥㅇㅔᴥㄱㅔᴥ	f6 m20 f5 m1 f2 m20 e15 f11 m5 f0 m5
ㅁㅣᴥㄹㅐᴥㄷㅗᴥ	f6 m20 f5 m1 f3 m8
ㅁㅣᴥㄹㅐᴥㄹㅗᴥ	f6 m20 f5 m1 f5 m8
ㅁㅣᴥㄹㅐᴥㄹㅡㄹᴥ	f6 m20 f5 m1 f5 m18 e7
ㅁㅣᴥㄹㅐᴥㅂㅕㅇᴥㅇㅝㄴᴥ	f6 m20 f5 m1 f7 m6 e20 f11 m14 e3
ㅁㅣᴥㄹㅐᴥㅂㅣㄹᴥ	f6 m20 f5 m1 f7 m20 e7
ㅁㅣᴥㄹㅐᴥㅅㅏㄴᴥㅂㅜᴥㅇㅣㄴᴥㄱㅘᴥ	f6 m20 f5 m1 f9 m0 e3 f7 m13 f11 m20 e3 f0 m9
ㅁㅣᴥㄹㅐᴥㅅㅏㄴᴥㅎㅜᴥㅈㅗᴥㄹㅣᴥㅇㅝㄴᴥ	f6 m20 f5 m1 f9 m0 e3 f18 m13 f12 m8 f5 m20 f11 m14 e3
ㅁㅣᴥㄹㅐᴥㅅㅏㅇᴥㅅㅏᴥ	f6 m20 f5 m1 f9 m0 e20 f9 m0
ㅁㅣᴥㄹㅐᴥㅇㅏㄴᴥㅈㅓㄴᴥ	f6 m20 f5 m1 f11 m0 e3 f12 m4 e3
ㅁㅣᴥㄹㅐᴥㅇㅑㄱᴥㄱㅜㄱᴥ	f6 m20 f5 m1 f11 m2 e0 f0 m13 e0
ㅁㅣᴥㄹㅐᴥㅇㅔᴥㄱㅔᴥ	f6 m20 f5 m1 f11 m5 f0 m5
ㅁㅣᴥㄹㅐᴥㅇㅔᴥㅅㅔㅅᴥ	f6 m20 f5 m1 f11 m5 f9 m5 e18
ㅁㅣᴥㄹㅐᴥㅇㅔᴥㅅㅔㅅᴥㅅㅐㅇᴥㅁㅕㅇᴥ	f6 m20 f5 m1 f11 m5 f9 m5 e18 f9 m1 e20 f6 m6 e20
ㅁㅣᴥㄹㅐᴥㅇㅔᴥㅅㅔㅅᴥㅇㅔᴥ	f6 m20 f5 m1 f11 m5 f9 m5 e18 f11 m5
ㅁㅣᴥㄹㅐᴥㅇㅕᴥㅅㅓㅇᴥㅂㅕㅇᴥㅇㅝㄴᴥ	f6 m20 f5 m1 f11 m6 f9 m4 e20 f7 m6 e20 f11 m14 e3
ㅁㅣᴥㄹㅐᴥㅇㅘᴥ	f6 m20 f5 m1 f11 m9
ㅁㅣᴥㄹㅐᴥㅇㅣㄴᴥㄹㅕㄱᴥㅇㅔᴥㄱㅔᴥ	f6 m20 f5 m1 f11 m20 e3 f5 m6 e0 f11 m5 f0 m5
ㅁㅣᴥㄹㅐᴥㅈㅏᴥㄷㅗㅇᴥㅊㅏᴥㄱㅗㅇᴥㅇㅓㅂᴥㅅㅏᴥ	f6 m20 f5 m1 f12 m0 f3 m8 e20 f14 m0 f0 m8 e20 f11 m4 e16 f9 m0
ㅁㅣᴥㄹㅐᴥㅈㅣᴥㅇㅜㅁᴥ	f6 m20 f5 m1 f12 m20 f11 m13 e15
ㅁㅣᴥㄹㅐᴥㅊㅜㄱᴥㅅㅏㄴᴥ	f6 m20 f5 m1 f14 m13 e0 f9 m0 e3
ㅁㅣᴥㄹㅐᴥㅋㅓㅁᴥㅍㅓᴥㄴㅣᴥ	f6 m20 f5 m1 f15 m4 e15 f17 m4 f2 m20
ㅁㅣᴥㄹㅐᴥㅎㅘㄴᴥㄱㅕㅇᴥㅅㅐㅇᴥㅌㅐᴥㅇㅕㄴᴥㄱㅜᴥㅅㅗᴥ	f6 m20 f5 m1 f18 m9 e3 f0 m6 e20 f9 m1 e20 f16 m1 f11 m6 e3 f0 m13 f9 m8
ㅁㅣᴥㄹㅓᴥ	f6 m20 f5 m4
ㅁㅣᴥㄹㅓᴥㅂㅗㄹᴥ	f6 m20 f5 m4 f7 m8 e7
